frame_number,timestamp,head_pitch,head_yaw,head_roll,inBrL,otBrL,inBrR,otBrR,EyeOL,EyeOR,oLipH,iLipH,LipCDt,dicCoeff_local0,dicCoeff_local1,dicCoeff_local2,dicCoeff_local3,dicCoeff_local4,dicCoeff_local5,dicCoeff_local6,dicCoeff_local7,dicCoeff_local8,dicCoeff_local9,dicCoeff_local10,dicCoeff_local11,dicCoeff_local12,dicCoeff_local13,dicCoeff_local14,dicCoeff_local15,dicCoeff_local16,dicCoeff_local17,dicCoeff_local18,dicCoeff_local19,dicCoeff_local20,dicCoeff_local21,dicCoeff_local22,dicCoeff_local23
38,3.8,162.34,165.67,-179.31,0.7304,0.719,0.7363,0.7281,0.1561,0.1337,0.0009,0.0006,0.0646,0.001297,0.014225,0.001082,0.001574,0.012823,0.001762,0.003676,0.011221,0.00112,0.001102,0.011032,0.001579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,3.9,162.49,164.21,-179.09,0.7309,0.7207,0.7374,0.7276,0.162,0.1291,0.0009,0.0006,0.0668,0.001281,0.014192,0.001041,0.001589,0.012808,0.001702,0.003716,0.011189,0.001095,0.001115,0.01102,0.001557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4.0,163.18,162.01,-179.94,0.7312,0.7206,0.7382,0.7274,0.1479,0.1242,0.0008,0.0006,0.0668,0.001292,0.014072,0.001042,0.001643,0.012817,0.001635,0.003592,0.011159,0.001098,0.001019,0.011066,0.001598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,4.1,162.93,161.94,179.88,0.7329,0.7219,0.7355,0.7259,0.1683,0.1408,0.0006,0.0005,0.0651,0.001272,0.014276,0.000995,0.001645,0.012913,0.001572,0.003614,0.011321,0.001072,0.001036,0.011308,0.001573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,4.2,162.85,159.24,-179.92,0.7306,0.7202,0.7344,0.7253,0.1702,0.1348,0.0006,0.0004,0.0644,0.001328,0.014133,0.001021,0.001687,0.01285,0.001556,0.003561,0.011211,0.001078,0.000973,0.011119,0.001592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,4.3,164.72,160.63,-179.99,0.7302,0.7193,0.7337,0.7232,0.1676,0.1367,0.0007,0.0005,0.0622,0.001367,0.014198,0.000938,0.001687,0.012768,0.001458,0.003519,0.011008,0.001022,0.000937,0.011065,0.001511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4.4,164.37,160.33,-179.43,0.7284,0.7181,0.7352,0.7233,0.159,0.1299,0.0003,0.0002,0.0654,0.0013,0.014109,0.000942,0.001676,0.012474,0.001462,0.003565,0.010778,0.001031,0.000974,0.01083,0.001528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4.5,161.23,159.89,-179.56,0.7251,0.7157,0.7319,0.7215,0.164,0.1358,0.0002,0.0002,0.0648,0.001271,0.014278,0.001041,0.001647,0.01265,0.001616,0.003567,0.011149,0.001089,0.00102,0.011051,0.001603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,4.6,163.44,159.98,-179.42,0.7245,0.7137,0.7317,0.7209,0.1642,0.1282,0.0002,0.0001,0.0654,0.001305,0.014108,0.001024,0.001661,0.012719,0.001586,0.003583,0.011045,0.001072,0.000994,0.010916,0.001574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,4.7,164.57,159.73,-179.26,0.7261,0.7156,0.7343,0.7227,0.1605,0.1287,0.0003,0.0002,0.0677,0.001233,0.013957,0.000891,0.001622,0.012715,0.001406,0.003519,0.010859,0.000982,0.000993,0.010876,0.001444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
